Stt|Mã môn học|Tên môn học|Giáo viên nhập|Tên sách|Tác giả|Năm xb|Nơi xb/ Nhà xb|Ghi chú tài liệu|Tình trạng|Nơi lưu trữ|Tên sách đề nghị kiểm tra hoặc thay thế
1|CBAN10304|Hóa học|Nguyễn Thanh Bình (2016), Bài giảng Hoá phân tích, Bộ môn Hóa học - Khoa Cơ bản, Trường Đại học Nông Lâm Huế.|Bài giảng Hoá phân tích|Nguyễn Thanh Bình |2016|ộ môn Hóa học - Khoa Cơ bản, Trường Đại học Nông Lâm Huế.|Bb|Đang bổ sung|Khoa/ BM|
2|CBAN10304|Hoá học|Đinh Thị Thu Thanh và Phan Thị Diệu Huyền (2015), Giáo trình Hoá học, Nhà xuất bản Đại Học Huế, TTTT-TV.|Giáo trình Hoá học|Đinh Thị Thu Thanh và Phan Thị Diệu Huyền|2015|Nhà xuất bản Đại Học Huế,|Bb|Đã có|TTTT-TV|
3|CBAN10304|Hóa học|Bộ môn Hóa - Khoa cơ bản, Bài giảng thực hành Hoá học - Hóa phân tích (2016), Trường Đại học Nông Lâm Huế|Bài giảng thực hành Hoá học - Hóa phân tích|Bộ môn Hóa - Khoa cơ bản.Trường Đại học Nông Lâm Huế|2016|Bộ môn Hóa - Khoa cơ bản.Trường Đại học Nông Lâm Huế|Tk|Đang bổ sung|Khoa/ BM|
4|CBAN10304|Hóa học|Dương Văn Đảm (2005), Bài tập hoá học đại cương, NXB Giáo dục, Hà Nội.|Bài tập hoá học đại cương|Dương Văn Đảm|2005|NXB Giáo dục, Hà Nội. |Tk|Đổi tài liệu|Không có|Bài tập hóa học đại cương / Lê Mậu Quyền. - Hà Nội : Giáo dục, 2008
5|CBAN10304|Hóa học|Trần Tứ Hiếu và Từ Vọng Nghi (2003). Bài tập Hóa phân tích. NXB đại học quốc gia Hà Nội, TTTT-TV.|Bài tập Hóa phân tích|Trần Tứ Hiếu và Từ Vọng Nghi|2003|NXB đại học quốc gia Hà Nội|Tk|Đổi tài liệu|Không có|
6|CBAN10304|Hóa học|Hồ Viết Quý (2005). Các phương pháp phân tích hóa học hiện đại (2 tập). NXB đại học sư phạm.|Các phương pháp phân tích hóa học hiện đại (2 tập)|Hồ Viết Quý|2005|NXB đại học sư phạm|Tk|Đổi tài liệu|Không có|
7|CBAN10304|Hóa học|Phan Tống Sơn, Trần Quốc Sơn, Đặng Như Tại (1976), Cơ sở hoá học hữu cơ tập 1, NXB Đại học và Trung học chuyên nghiệp.|Cơ sở hoá học hữu cơ tập 1|Phan Tống Sơn, Trần Quốc Sơn, Đặng Như Tại|1976|NXB Đại học và Trung học chuyên nghiệp. |Tk|Đổi tài liệu|Không có|
8|CBAN10304|Hóa học|Hoàng Minh Châu, Từ Văn Mạc,Từ Vọng Nghi(2002).Cơ sở Hoá học Phân tích, NXB Khoa học và kỹ thuật. Hà Nội, TTTT-TV.|Cơ sở Hoá học Phân tích|Hoàng Minh Châu, Từ Văn Mạc,Từ Vọng Nghi|2002|NXB Khoa học và kỹ thuật. Hà Nội|Tk|Đã có|TTTT-TV|TTTT-TV - 2007
9|CBAN10304|Hóa học|Vũ Đăng Độ (1993), Cơ sở lý thuyết các quá trình hoá học, NXB Giáo dục, Hà Nội.|Cơ sở lý thuyết các quá trình hoá học|Vũ Đăng Độ|1993|NXB Giáo dục, Hà Nội. |Tk|Đã có|Không có|
10|CBAN10304|Hóa học|Lê Nguyên Tảo (1972), Giáo trình hoá học chất keo, Đại học Tổng hợp Hà Nội.|Giáo trình hoá học chất keo|Lê Nguyên Tảo |1972| Đại học Tổng hợp Hà Nội. |Tk|Đổi tài liệu|Không có|
11|CBAN10304|Hóa học|Nguyễn Đức Chuy (1996), Giáo trình hoá học đại cương, NXB Đại học Quốc gia Hà Nội.|Giáo trình hoá học đại cương|Nguyễn Đức Chuy|1996|NXB Đại học Quốc gia Hà Nội. |Tk|Đổi tài liệu|Không có|
12|CBAN10304|Hóa học|Lê Văn Khoa và Nguyễn Xuân Cự (2000). Phương pháp phân tích đất, nước, phân bón, cây trồng. NXB Giáo Dục.|Phương pháp phân tích đất, nước, phân bón, cây trồng|Lê Văn Khoa và Nguyễn Xuân Cự|2000|NXB Giáo Dục.|Tk|Đã có|TTTT-TV|
13|CBAN10502|Hóa lý|Đinh Thị Thu Thanh, Bài giảng Hóa lý, Bộ môn Hóa học – Khoa Cơ bản – Trường Đại học Nông Lâm Huế, TTTT-TV|Bài giảng Hóa lý, Bộ môn Hóa học|Đinh Thị Thu Thanh|||BB|Đang bổ sung|Khoa/ BM|
14|CBAN10502|Hóa lý|Lê Mậu Quyền (2001), Bài tập hoá học vô cơ, NXB Khoa học kỹ thuật, Hà Nội|Bài tập hoá học vô cơ|Lê Mậu Quyền |2001|NXB Khoa học kỹ thuật, Hà Nội|TK|Đổi tài liệu|Không có|
15|CBAN10502|Hóa lý|Vũ Đăng Độ (1993), Cơ sở lý thuyết các quá trình hoá học, NXB Giáo dục, Hà Nội|Cơ sở lý thuyết các quá trình hoá học|Vũ Đăng Độ|1993|XB Giáo dục, Hà Nội|TK|Đã có|Không có|
16|CBAN10502|Hóa lý|Đinh Thị Thu Thanh và Phan Thị Diệu Huyền (2015). Giáo trình Hoá học. Nhà xuất bản Đại Học Huế, TTTT-T|Giáo trình Hoá học|Đinh Thị Thu Thanh và Phan Thị Diệu Huyền|2015|Nhà xuất bản Đại Học Huế|TK|Đã có|TTTT-TV|
17|CBAN10502|Hóa lý|Lê Nguyên Tảo (1972), Giáo trình hoá học chất keo, Đại học Tổng hợp Hà Nội|Giáo trình hoá học chất keo|Lê Nguyên Tảo|1972|Đại học Tổng hợp Hà Nội|TK|Đổi tài liệu|Không có|
18|CBAN10502|Hóa lý|Nguyễn Đức Chuy (1996), Giáo trình hoá học đại cương, NXB Đại học Quốc gia Hà Nội.|Giáo trình hoá học đại cương|Nguyễn Đức Chuy|1996|NXB Đại học Quốc gia Hà Nội.|TK|Đổi tài liệu|Không có|
19|CBAN10502|Hóa lý|Kiều Dinh (1969), Hoá đại cương, NXB Đại học và Trung học chuyên nghiệp, Hà Nội|Hoá đại cương|Kiều Dinh|1969|NXB Đại học và Trung học chuyên nghiệp, Hà Nội|TK|Đổi tài liệu|Không có|
20|CBAN10502|Hóa lý|Nguyễn Hữu Phú, Hóa lý và Hóa keo, NXB Khoa học và kỹ thuật.|Hóa lý và Hóa keo|Nguyễn Hữu Phú||NXB Khoa học và kỹ thuật|TK|Đã có|TTTT-TV|
21|CBAN11803|Sinh học|Nguyễn Bá Hai, Đặng Thị Thu Hiền, Phan Thị Duy Thuận, Dương Thị Thảo Trang (2003), Sinh học đại cương, NXB Đại Học Huế, TTTT-TV.|Sinh học đại cương|Nguyễn Bá Hai, Đặng Thị Thu Hiền, Phan Thị Duy Thuận, Dương Thị Thảo Trang|2003|NXB Đại Học Huế|Bb|Đã có|TTTT-TV|TTTT-TV - 2013
22|CBAN11803|Sinh học|Nguyễn Bá Lộc, Phan Anh (2006), Giáo Trình Tế Bào Học, NXB Đại Học Huế, Huế, TTTT-TV.|Giáo Trình Tế Bào Học|Nguyễn Bá Lộc, Phan Anh|2006| NXB Đại Học Huế, Huế|Tk|Đã có|TTTT-TV|
23|CBAN11803|Sinh học|Hoàng Đức Cự (2005), Sinh học đại cương, tập I, II. NXB ĐHQG, Hà Nội, TTTT-TV.|Sinh học đại cương, tập I, II.|Hoàng Đức Cự|2005|NXB ĐHQG, Hà Nội|Tk|Đã có|TTTT-TV|
24|CBAN11803|Sinh học|Nguyễn Đăng Phong (1999), Sinh Học I - Sinh học tế bào, di truyền và tiến hóa. NXB Nông Nghiệp, Hà Nội, TTTT-TV.|Sinh Học I - Sinh học tế bào, di truyền và tiến hóa|Nguyễn Đăng Phong|1999| NXB Nông Nghiệp, Hà Nội|Tk|Đã có|TTTT-TV|
25|CBAN11803|Sinh học|Nguyễn Hoàng Lộc (2007), Sinh học phân tử, NXB Đại học Huế, Huế, TTTT-TV.|Sinh học phân tử|Nguyễn Hoàng Lộc|2007| NXB Đại Học Huế, Huế|Tk|Đã có|TTTT-TV|Giáo trình Sinh học phân tử / Nguyễn Hoàng Lộc, Trần Thị Lệ, Hà Thị Minh Thi. - Huế : Nxb.Đại học Huế, 2007
26|CBAN11902|Tin học|Trần Thị Thùy Hương, Trần Thị Diệu Hiền, Nguyễn Thị Tuyết Lan (2017), Bài giảng Tin học, Bộ môn Tin - Khoa Cơ bản, Trường Đại học Nông Lâm Huế.|Bài giảng Tin học|Trần Thị Thùy Hương, Trần Thị Diệu Hiền, Nguyễn Thị Tuyết Lan|2017|Bộ môn Tin - Khoa Cơ bản, Trường Đại học Nông Lâm Huế.|Bb|Đang bổ sung|Khoa/ BM|
27|CBAN11902|Tin học|Trần Thị Thùy Hương, Trần Thị Diệu Hiền, Nguyễn Thị Tuyết Lan, Võ Phan Nhật Quang (2017), Bài thực hành Tin học, Bộ môn Tin - Khoa Cơ bản, Trường Đại học Nông Lâm Huế.|Bài thực hành Tin học|Trần Thị Thùy Hương, Trần Thị Diệu Hiền, Nguyễn Thị Tuyết Lan, Võ Phan Nhật Quang|2017|Bộ môn Tin - Khoa Cơ bản, Trường Đại học Nông Lâm Huế.|Bb|Đang bổ sung|Khoa/ BM|
28|CBAN11902|Tin học|Phạm Quang Dũng (2015), Giáo trình Tin học đại cương, Khoa Công nghệ thông tin - Học viện Nông nghiệp Việt nam, Hà Nội.|Giáo trình Tin học đại cương|Phạm Quang Dũng|2015|Khoa Công nghệ thông tin - Học viện Nông nghiệp Việt nam, Hà Nội.|Tk|Đặt mua|Không có|
29|CBAN11902|Tin học|Đỗ Thị Mơ, Dương Xuân Thành, Nguyễn Thị Thủy, Ngô Tuấn Anh (2006), Giáo trình Tin học đại cương dành cho khối A, B, Trường đại học Nông nghiệp I, Hà Nội.|Giáo trình Tin học đại cương dành cho khối A, B,|Đỗ Thị Mơ, Dương Xuân Thành, Nguyễn Thị Thủy, Ngô Tuấn Anh |2006| Trường đại học Nông nghiệp I, Hà Nội.|Tk|Đổi tài liệu|Không có|
30|CBAN11902|Tin học|Nhóm giảng viên Tin học văn phòng (9-2011), Giáo trình Tin học đại cương(dùng cho khối sinh viên không chuyên tin), Đại học Hoa Sen, Thành phố Hồ Chí Minh.|Giáo trình Tin học đại cương(dùng cho khối sinh viên không chuyên tin)|Nhóm giảng viên Tin học văn phòng (9-2011)|2011|Đại học Hoa Sen, Thành phố Hồ Chí Minh.|Tk|Đặt mua|Không có|
31|CBAN11902|Tin học|Site: www.office.microsoft, https://support.office.com/|Site: www.office.microsoft, https://support.office.com/||||Tk|internet|internet|
32|CBAN12002|Toán cao cấp|Nguyễn Đình Trí – Tạ Văn Đổng – Nguyễn Hồ Quỳnh (2006), Toán cao cấp tập 1, 2, 3, NXB Giáo dục. TTTT-TV.|Toán cao cấp tập 1, 2, 3|Nguyễn Đình Trí – Tạ Văn Đổng – Nguyễn Hồ Quỳnh|2006|NXB Giáo dục|BB|Đã có|TTTT-TV|TTTT-TV - 2008
33|CBAN12002|Toán cao cấp|Lê Viết Ngư – Trần Thị Diệu Trang, Bài tập toán cao cấp: Bài tập toán cao cấp tập 1, 2. TTTT-TV.|Bài tập toán cao cấp: Bài tập toán cao cấp tập 1, 2.|Lê Viết Ngư – Trần Thị Diệu Trang|||TK|Đặt mua|Không có|
34|CBAN12202|Toán thống kê|Lê Văn Tiến (1991), Giáo trình Lý thuyết Xác suất & Thống kê Toán học, NXB ĐH & THCN, TTTT-TV.|Giáo trình Lý thuyết Xác suất & Thống kê Toán học,| Lê Văn Tiến|1991|NXB ĐH & THCN|Bb|Đã có|TTTT-TV|TTTT-TV 1999
35|CBAN12202|Toán thống kê|Tống Đình Quỳ (2001), Giáo trình Xác suất Thống kê, NXB Giáo dục.|Giáo trình Xác suất Thống kê|Tống Đình Quỳ|2001|NXB Giáo dục.|Bb|Đổi tài liệu|Không có|
36|CBAN12202|Toán thống kê|Đinh Văn Gắng (2008), Lý thuyết Xác suất và Thống kê, NXB Giáo dục, TTTT-TV.|Lý thuyết Xác suất và Thống kê|Đinh Văn Gắng|2008| NXB Giáo dục, |Bb|Đã có|TTTT-TV|
37|CBAN12202|Toán thống kê|Trần Lộc Hùng (2000), Xác suất & Thống kê Toán học, NXB Giáo dục.|Xác suất & Thống kê Toán học|Trần Lộc Hùng|2000| NXB Giáo dục|Bb|Đổi tài liệu|Không có|
38|CBAN12202|Toán thống kê|Đào Hữu Hồ (1996), Xác suất Thống kê, ĐHQG Hà Nội, TTTT-TV.|Xác suất Thống kê|Đào Hữu Hồ|1996||Bb|Đã có|TTTT-TV|TTTT-TV - 2006
39|CBAN12302|Vật lý|Bộ môn Vật lý - Khoa Cơ Bản (2017), Bài giảng Thực hành Vật lý, Đại học Nông Lâm, Huế, Bộ môn Vật lý.|Bài giảng Thực hành Vật lý|Bộ môn Vật lý - Khoa Cơ Bản |2017|Đại học Nông Lâm, Huế, Bộ môn Vật lý.|Bb|Đang bổ sung|Khoa/ BM|
40|CBAN12302|Vật lý|Bộ môn Vật lý - Khoa Cơ Bản (2017), Bài giảng Vật lý, Đại học Nông Lâm, Huế, Bộ môn Vật lý.|Bài giảng Vật lý,|Bộ môn Vật lý - Khoa Cơ Bản |2017|Đại học Nông Lâm, Huế, Bộ môn Vật lý|Bb|Đang bổ sung|Khoa/ BM|
41|CBAN12302|Vật lý|Trần Đình Đông - Đoàn Văn Cán (2006), Giáo trình Vật lý, NXB Nông Nghiệp, Hà Nội, Bộ môn Vật lý.|Giáo trình Vật lý|Trần Đình Đông - Đoàn Văn Cán |2006|Nông Nghiệp, Hà Nội, Bộ môn Vật lý|Tk|Đổi tài liệu|Không có|
42|CBAN12302|Vật lý|Lương Duyên Bình (2009), Giáo trình Vật lý đại cương - Tập 1, NXB Giáo dục, Hà Nội, TTTT-TV và Bộ môn Vật lý.|Giáo trình Vật lý đại cương - Tập 1|Lương Duyên Bình|2009|NXB Giáo dục, Hà Nội|Tk|Đã có|TTTT-TV|
43|CBAN12302|Vật lý|Lương Duyên Bình (2008), Giáo trình Vật lý đại cương - Tập 2, NXB Giáo dục, Hà Nội, TTTT-TV và Bộ môn Vật lý.|Giáo trình Vật lý đại cương - Tập 2|Lương Duyên Bình|2008|NXB Giáo dục, Hà Nội|Tk|Đã có|TTTT-TV|
44|CKCD25302|Năng lượng tái tạo|Đinh Vương Hùng (2015). Bài giảng Năng lượng tái tạo, ĐHNL Huế|Bài giảng Năng lượng tái tạo|Đinh Vương Hùng |2015||BB|Đang bổ sung|Khoa/ BM|
45|CKCD25302|Năng lượng tái tạo|Trịnh Quang Dũng (1992), Điện mặt trời, Nhà xuất bản Khoa học kỹ thuật|Điện mặt trời,|Trịnh Quang Dũng|1992|Nhà xuất bản Khoa học kỹ thuật|BB|Đổi tài liệu|Không có|
46|CKCD25302|Năng lượng tái tạo|Hoàng Dương Hùng (2000). Năng lượng mặt trời, lý thuyết và ứng dụng. NXB Đà Nẵng|Năng lượng mặt trời, lý thuyết và ứng dụng|Hoàng Dương Hùng|2000|NXB Đà Nẵng|BB|Đổi tài liệu|Không có|
47|CKCD25302|Năng lượng tái tạo|Võ Đình Diệp, Nguyễn Thiện Tống (1984), Khoa học kỹ thuật phục vụ nông thôn - Năng lượng, Nhà xuất bản Thành phố Hồ Chí Minh|Khoa học kỹ thuật phục vụ nông thôn - Năng lượng|Võ Đình Diệp, Nguyễn Thiện Tống|1984|Nhà xuất bản Thành phố Hồ Chí Minh|TK|Đổi tài liệu|Không có|
48|CKCD25302|Năng lượng tái tạo|Hoàng Dương Hùng, Phan Quang Xưng (1998), Một số loại collector hấp thụ năng lượng mặt trời và tính toán so sánh hiệu quả của chúng, Tạp chí khoa học công nghệ Nhiệt số 2.|Một số loại collector hấp thụ năng lượng mặt trời và tính toán so sánh hiệu quả của chúng|Hoàng Dương Hùng, Phan Quang Xưng|1998|Tạp chí khoa học công nghệ Nhiệt số 2.|TK|Đổi tài liệu|Không có|
49|CKCD25302|Năng lượng tái tạo|TS. Hoàng Dương Hùng. 2000. Năng lượng mặt trời, lý thuyết và ứng dụng. Nhà xuất bản Đà Nẵng|Năng lượng mặt trời, lý thuyết và ứng dụng|TS. Hoàng Dương Hùng|2000|Nhà xuất bản Đà Nẵng|TK|Đổi tài liệu|Không có|
50|CKCD25302|Năng lượng tái tạo|Hoàng Dương Hùng (1998), Nghiên cứu sử dụng năng lựợng nhiệt mặt trời ở điều kiện Việt Nam - Luận văn thạc sĩ KHKT, Đại học kỹ thuật Đà Nẵng|Nghiên cứu sử dụng năng lựợng nhiệt mặt trời ở điều kiện Việt Nam - Luận văn thạc sĩ KHKT|Hoàng Dương Hùng|1998||TK|Đổi tài liệu|Không có|
51|CKCN19303|Vi sinh thực phẩm|Nguyễn Hiền Trang, 2017, Giáo trình Vi sinh vật thực phẩm, NXB Đại học Huế (Lưu trữ ở Thư viện Trường Đại học Nông Lâm Huế).|Giáo trình Vi sinh vật thực phẩm|Nguyễn Hiền Trang|2017|NXB Đại học Huế |BB|Đã có|TTTT-TV|
52|CKCN19303|Vi sinh vật thực phẩm|Nguyễn Hiền Trang, 2017, Giáo trình Vi sinh vật thực phẩm, NXB Đại học Huế.|Giáo trình Vi sinh vật thực phẩm|Nguyễn Hiền Trang|2017|NXB Đại học Huế|BB|Đã có|TTTT-TV|
53|CKCN19303|Vi sinh vật thực phẩm|Lê Xuân Phương, 2001, Vi sinh vật công nghiệp, NXB Xây Dựng.|Vi sinh vật công nghiệp|Lê Xuân Phương|2001|NXB Xây Dựng|BB|Đổi tài liệu|Không có|
54|CKCN19303|Vi sinh thực phẩm|Lê Xuân Phương, 2001, Vi sinh vật công nghiệp, NXB Xây Dựng. (Lưu trữ ở Văn phòng Bộ môn Quản lý chất lượng thực phẩm, Khoa Cơ khí Công nghệ, Trường ĐHNL Huế).|Vi sinh vật công nghiệp,|Lê Xuân Phương|2001|NXB Xây Dựng|BB|Đổi tài liệu|Không có|
55|CKCN19303|Vi sinh thực phẩm|Nguyễn Lân Dũng, Nguyễn Đình Quyến, Phạm Văn Ty, 2002, Vi sinh vật học, NXB Giáo Dục, Hà Nội. (Lưu trữ ở Văn phòng Bộ môn Quản lý chất lượng thực phẩm, Khoa Cơ khí Công nghệ, Trường ĐHNL Huế)|Vi sinh vật học|guyễn Lân Dũng, Nguyễn Đình Quyến, Phạm Văn Ty|2002|NXB Giáo Dục|BB|Đã có|TTTT-TV|TTTT-TV - 2008
56|CKCN19303|Vi sinh vật thực phẩm|Nguyễn Lân Dũng, Nguyễn Đình Quyến, Phạm Văn Ty, 2002, Vi sinh vật học, NXB Giáo Dục, Hà Nội.|Vi sinh vật học|Nguyễn Lân Dũng, Nguyễn Đình Quyến, Phạm Văn Ty|2002|NXB Giáo Dục, Hà Nội|BB|Đã có|TTTT-TV|TTTT-TV - 2008
57|CKCN19303|Vi sinh vật thực phẩm|Nguyễn Đức Lượng, 1996, Công nghệ vi sinh vật (Tập 1, 2, 3), Trường Đại học Bách khoa Thành phố Hồ Chí Minh.|Công nghệ vi sinh vật (Tập 1, 2, 3)|Nguyễn Đức Lượng|1996||TK|Đổi tài liệu|Không có|
58|CKCN19303|Vi sinh thực phẩm|Nguyễn Đức Lượng, 1996, Công nghệ vi sinh vật (Tập 1, 2, 3), Trường Đại học Bách khoa Thành phố Hồ Chí Minh. (Lưu trữ ở Văn phòng Bộ môn Quản lý chất lượng thực phẩm, Khoa Cơ khí Công nghệ, Trường ĐHNL Huế).|Công nghệ vi sinh vật (Tập 1, 2, 3)|Nguyễn Đức Lượng|1996|Trường Đại học Bách khoa Thành phố Hồ Chí Minh.|TK|Phải nộp hoặc đổi tài liệu|Khoa/ BM|
59|CKCN19303|Vi sinh vật thực phẩm|Lương Đức Phẩm, 2000, Vi sinh vật học và an toàn vệ sinh thực phẩm, NXB Nông nghiệp.|Vi sinh vật học và an toàn vệ sinh thực phẩm|Lương Đức Phẩm|2000|NXB Nông nghiệp|TK|Đã có|TTTT-TV|
60|CKCN19303|Vi sinh thực phẩm|Lương Đức Phẩm, 2000, Vi sinh vật học và an toàn vệ sinh thực phẩm, NXB Nông nghiệp. (Lưu trữ ở Thư viện Trường Đại học Nông Lâm Huế).|Vi sinh vật học và an toàn vệ sinh thực phẩm|Lương Đức Phẩm|2000|NXB Nông nghiệp|TK|Đã có|TTTT-TV|
61|CKCN20102 |An toàn thực phẩm|Nguyễn Hiền Trang, Bài giảng Vệ sinh an toàn thực phẩm, 2016, Văn phòng Bộ môn Quản lý chất lượng thực phẩm, Khoa Cơ khí Công nghệ, Trường ĐHNL Huế.|Bài giảng Vệ sinh an toàn thực phẩm|Nguyễn Hiền Trang|2016| Văn phòng Bộ môn Quản lý chất lượng thực phẩm, Khoa Cơ khí Công nghệ, Trường ĐHNL Huế.|bb|Đang bổ sung|Khoa/ BM|
62|CKCN20102 |An toàn thực phẩm|Lương Đức Phẩm, Vi sinh vật học và an toàn vệ sinh thực phẩm, NXB Nông nghiệp, 2000, Thư viện Trường Đại học Nông Lâm Huế.|Vi sinh vật học và an toàn vệ sinh thực phẩm|Lương Đức Phẩm|2000|NXB Nông nghiệ|bb|Đã có|TTTT-TV|
63|CKCN20102 |An toàn thực phẩm|Trường ĐH Y Khoa Phạm Ngọc Thạch, Bộ môn Dinh dưỡng-An toàn thực phẩm, Dinh dưỡng học, NXB Y học, 2011, Văn phòng Bộ môn Công nghệ sau thu hoạch, Khoa Cơ khí Công nghệ, Trường ĐHNL Huế.|Dinh dưỡng học|Phạm Ngọc Thạch|2011|NXB Y học|tk|Đặt mua|Không có|
64|CKCN20102 |An toàn thực phẩm|Nguyễn Phùng Tiến, Bùi Minh Đức, Nguyễn Văn Dịp. Vi sinh vật thực phẩm - Kỹ thuật kiểm tra và chỉ tiêu đánh giá chất lượng an toàn thực phẩm. NXB Y học, 2003, Văn phòng Bộ môn Quản lý chất lượng thực phẩm, Khoa Cơ khí Công nghệ, Trường ĐHNL Huế.|Vi sinh vật thực phẩm - Kỹ thuật kiểm tra và chỉ tiêu đánh giá chất lượng an toàn thực phẩm|Nguyễn Phùng Tiến, Bùi Minh Đức, Nguyễn Văn Dịp|2003|NXB Y học|tk|Phải nộp hoặc đặt mua|Khoa/ BM|
65|CKCN20202|Bao gói thực phẩm|Lê Thanh Long, Bài giảng Bao gói thực phẩm, 2017|Bài giảng Bao gói thực phẩm|Lê Thanh Long|2017||BB|Đang bổ sung|Khoa/ BM|
66|CKCN20202|Bao gói thực phẩm|Đống Thị Anh Đào. Kỹ thuật bao bì thực phẩm. NXB ĐHQG TPHCM, 2005|Kỹ thuật bao bì thực phẩm|Đống Thị Anh Đào|2005|NXB ĐHQG TPHCM|BB|Đã có|TTTT-TV|
67|CKCN20202|Bao gói thực phẩm|Đống Thị Anh Đào. Kỹ thuật bao bì thực phẩm. NXB ĐHQG TPHCM, 2005|Kỹ thuật bao bì thực phẩm|Đống Thị Anh Đào|2005|NXB ĐHQG TPHCM|TK|Đã có|TTTT-TV|
68|CKCN21052|Marketing nông sản và thực phẩm|Trần Minh Đạo, Marketing căn bản, Trường Đại học Kinh tế quốc dân, Nhà xuất bản Đại học Kinh tế quốc dân năm 2006|Marketing căn bản, Trường Đại học Kinh tế quốc dân|Trần Minh Đạo|2006|Nhà xuất bản Đại học Kinh tế quốc dân|BB|Đổi tài liệu|Không có|
69|CKCN21052|Marketing nông sản và thực phẩm|Trần Hoàng Phi, Marketing thực phẩm, Trường ĐH công nghệ Sài Gòn|Marketing thực phẩm|Trần Hoàng Phi||Trường ĐH công nghệ Sài Gòn|BB|Đặt mua|Không có|
70|CKCN21052|Marketing nông sản và thực phẩm|A Review of Food Marketing to Children and Adolescents, Federal Trade Commission, Jon Leibowitz, et al., 2012|A Review of Food Marketing to Children and Adolescents, Federal Trade Commission||2012||TK|Đặt mua|Không có|
71|CKCN21102|Công nghệ chế biến dầu mỡ thực phẩm|Nguyễn Quốc Sinh (2016). Bài giảng Công nghệ sản xuất dầu mỡ thực phẩm (Llưu trữ tại Bộ môn Công nghệ sau thu hoạch)|Bài giảng Công nghệ sản xuất dầu mỡ thực phẩm|Nguyễn Quốc Sinh|2016||BB|Đang bổ sung|Khoa/ BM|
72|CKCN21102|Công nghệ chế biến dầu mỡ thực phẩm|Phạm Ngọc Thạch (2003). Bài giảng chế biến cây nhiệt đới (Lưu trữ tại Bộ môn Công nghệ sau thu hoạch|Bài giảng chế biến cây nhiệt đới|Phạm Ngọc Thạch|2003||TK|Đang bổ sung|Khoa/ BM|
73|CKCN21102|Công nghệ chế biến dầu mỡ thực phẩm|Nguyễn Quang Lộc (1993). Kỹ thuật ép dầu và chế biến dầu mỡ thực phẩm - NXB Khoa học kỹ thuật (Lưu trữ tại Bộ môn Công nghệ sau thu hoạch|Kỹ thuật ép dầu và chế biến dầu mỡ thực phẩm|Nguyễn Quang Lộc |1993||TK|Đổi tài liệu|Không có|TTTT-TV-1971
74|CKCN21202|Công nghệ chế biến lương thực|Kỹ thuật chế biến lương thực, Bùi Đức Hợi chủ biên, trường ĐHBKHN, 2006.|Kỹ thuật chế biến lương thực| Bùi Đức Hợi chủ biên|||BB|Đã có|TTTT-TV|
75|CKCN21202|Công nghệ chế biến lương thực|Công nghệ và Máy chế biến lương thực, Đoàn Dụ chủ biên, NXB KHKT, 1985.|Công nghệ và Máy chế biến lương thực|Đoàn Dụ chủ biên|1985| NXB KHKT|TK|Đổi tài liệu|Không có|
76|CKCN21202|Công nghệ chế biến lương thực|Bievenido O. Juliano (1994), Rice Chemistry and Technology, The American Association ß Cereal Chemists.|Rice Chemistry and Technology, The American Association ß Cereal Chemists.|Bievenido O. Juliano |1994||TK|Đổi tài liệu|Không có|
77|CKCN21902|Công nghệ đồ uống|Đỗ Thị Bích Thủy (2015). Bài giảng công nghệ đồ uống. Trường ĐH Nông Lâm, ĐH Huế.|Bài giảng công nghệ đồ uống|Đỗ Thị Bích Thủy|2015|Trường ĐH Nông Lâm, ĐH Huế|BB|Đang bổ sung|Khoa/ BM|
78|CKCN21902|Công nghệ đồ uống|Hoàng Ðình Hoà, 1998. Công nghệ sản xuất malt và bia, Nhà xuất bản khoa học và kỹ thuật|Công nghệ sản xuất malt và bia|Hoàng Ðình Hoà|1998|hà xuất bản khoa học và kỹ thuật|TK|Đổi tài liệu|Không có|
79|CKCN21902|Công nghệ đồ uống|Wolfgang Kunze, 1996. Technology Brewing and Malting, VLB Berlin|Technology Brewing and Malting|Wolfgang Kunze,|1996|VLB Berlin|TK|Đổi tài liệu|Không có|
80|CKCN22002|Công nghệ enzyme|Nguyễn Đức Chung, 2015, Bài giảng Công nghệ enzyme|Bài giảng Công nghệ enzyme|Nguyễn Đức Chung|2015||BB|Đang bổ sung|Khoa/ BM|
81|CKCN22002|Công nghệ enzyme|Đặng Thị Thu, Lê Ngọc Tú, Tô Kim Anh và cộng sự, 2004, Công nghệ enzyme, NXB Khoa học và Kỹ thuật|Công nghệ enzyme|Đặng Thị Thu, Lê Ngọc Tú, Tô Kim Anh và cộng sự|2004|NXB Khoa học và Kỹ thuật|BB|Đã có|Không có|
82|CKCN22002|Công nghệ enzyme|Nguyễn Đức Lượng, Lê Thị Thủy Tiên, Huỳnh Ngọc Oanh, Nguyễn Thúy Hương, (2012), Công nghệ enzym, Đại học Quốc gia TP.Hồ Chí Minh|Công nghệ enzym|Nguyễn Đức Lượng, Lê Thị Thủy Tiên, Huỳnh Ngọc Oanh, Nguyễn Thúy Hương,|2012|Đại học Quốc gia TP.Hồ Chí Minh|TK|Đã có|TTTT-TV|
