Stt|Mã môn học|Tên môn học|Giáo viên nhập|Tên sách|Tác giả|Năm xb|Nơi xb/ Nhà xb|Ghi chú tài liệu|Tình trạng|Nơi lưu trữ|Tên sách đề nghị kiểm tra hoặc thay thế
1194|TNMT21102|Định giá đất|Nguyễn Hữu Ngữ (2017), Giáo trình Định giá đất, Nhà xuất bản Đại học Huế.|Giáo trình Định giá đất|Nguyễn Hữu Ngữ|2017|Nhà xuất bản Đại học Huế.|bb|Đã có|TTTT-TV|
1195|TNMT21102|Định giá đất|Chính phủ nước CHXHCN Việt Nam (2014), Nghị định 44/2014/NĐ-CP ngày 15/5/2014 quy định về giá đất.|Nghị định 44/2014/NĐ-CP ngày 15/5/2014 quy định về giá đất.|Chính phủ nước CHXHCN Việt Nam|2014||tk|internet|Internet|
1196|TNMT21102|Định giá đất|Bộ Tài nguyên và Môi trường (2014), Thông tư 36/2014/TT-BTNMT ngày 30/6/2014 quy định chi tiết về phương pháp định giá đất; xây dựng, điều chỉnh bảng giá đất; định giá đất cụ thể và tư vấn xác định giá đất.|Thông tư 36/2014/TT-BTNMT ngày 30/6/2014 quy định chi tiết về phương pháp định giá đất; xây dựng, điều chỉnh bảng giá đất; định giá đất cụ thể và tư vấn xác định giá đất.|Bộ Tài nguyên và Môi trường|2014||tk|internet|internet|
1197|TNMT21302|Hệ thống định vị toàn cầu|Nguyễn Ngọc Thanh (2016), Bài giảng hệ thống định vị toàn cầu trong quản lý đất đai, Trường đại học Nông Lâm, Đại học Huế.|Bài giảng hệ thống định vị toàn cầu trong quản lý đất đai|Nguyễn Ngọc Thanh |2016|Trường đại học Nông Lâm, Đại học Huế.|bb|Đang bổ sung|Khoa/ BM|
1198|TNMT21302|Hệ thống định vị toàn cầu|Huỳnh Văn Chương, Phạm Gia Tùng (2012), Bài giảng hệ thống định vị toàn cầu trong quản lý tài nguyên thiên nhiên, Trường đại học Nông Lâm, Đại học Huế.|Bài giảng hệ thống định vị toàn cầu trong quản lý tài nguyên thiên nhiên|Huỳnh Văn Chương, Phạm Gia Tùng |2012|Trường đại học Nông Lâm, Đại học Huế.|tk|Đang bổ sung|Khoa/ BM|
1199|TNMT21302|Hệ thống định vị toàn cầu|Trần Vĩnh Phước (2008), GPS Hệ thống định vị toàn cầu, Nhà xuất bản Đại học Quốc gia thành phố Hồ Chí Minh.|GPS Hệ thống định vị toàn cầu|Trần Vĩnh Phước|2008|Nhà xuất bản Đại học Quốc gia thành phố Hồ Chí Minh.|tk|Đã có|TTTT-TV|
1200|TNMT21403|Hệ thống thông tin địa lý|Đối với ngành quản lý đất đai: Trần Thị Phượng(2015), Giáo trình Hệ thống thông tin địa lý –GIS, Nhà xuất bản Đại học Huế.|Giáo trình Hệ thống thông tin địa lý –GIS|Trần Thị Phượng|2015|Nhà xuất bản Đại học Huế.|bb|Đã có|TTTT-TV|kiểm tra năm xuất bản. TTTT-Tv 2014
1201|TNMT21403|Hệ thống thông tin địa lý|Đối với ngành lâm nghiệp, quản lý tài nguyên rừng và lâm nghiệp đô thị: Nguyễn Văn Lợi (2011),GIS trong lâm nghiệp, Nhà xuất bản Nông nghiệp.|GIS trong lâm nghiệp|Nguyễn Văn Lợi |2011| Nhà xuất bản Nông nghiệp.|bb|Đã có|TTTT-TV|
1202|TNMT21403|Hệ thống thông tin địa lý|Nguyễn Văn Lợi (2013),GIS đại cương và phân tích không gian, Nhà xuất bản Nông nghiệp.|GIS đại cương và phân tích không gian|Nguyễn Văn Lợi|2013|Nhà xuất bản Nông nghiệp.|tk|Đã có|TTTT-TV|
1203|TNMT21403|Hệ thống thông tin địa lý|Burough, Peter A. and Rachael McDonnell, P.A, Principles of Geographical Information Systems (Spatial Information Systems), 2nd edition. Oxford Press, 1998.|Principles of Geographical Information Systems (Spatial Information Systems), 2nd edition.|Burough, Peter A. and Rachael McDonnell, P.A|1998|Oxford Press|tk|Đổi tài liệu|Không có|
1204|TNMT21503|Hệ thống thông tin nhà đất|Trần Thị Phượng, 2017, Bài giảng Hệ thống thông tin nhà đất, Trường Đại học Nông Lâm Huế.|Bài giảng Hệ thống thông tin nhà đất|Trần Thị Phượng|2017|Trường Đại học Nông Lâm Huế.|bb|Đang bổ sung|Khoa/ BM|
1205|TNMT21503|Hệ thống thông tin nhà đất|Dale and McLiughlin, 2003. Land Administration, Nhà xuất bản Oxford.|Land Administration|Dale and McLiughlin|2003|Nhà xuất bản Oxford.|tk|Đổi tài liệu|Không có|
1206|TNMT22002|Kinh tế đất|Trần Trọng Tấn. Bài giảng Kinh tế đất, Đại học Nông Lâm Huế, 2016|Bài giảng Kinh tế đất|Trần Trọng Tấn.|2016|Đại học Nông Lâm Huế|bb|Đang bổ sung|Khoa/ BM|
1207|TNMT22002|Kinh tế đất|Nguyễn Thị Hải, Bài giảng Thị trường bất động sản, Đại học Nông Lâm Huế.|Bài giảng Thị trường bất động sản|Nguyễn Thị Hải||Đại học Nông Lâm Huế.|tk|Đang bổ sung|Khoa/ BM|
1208|TNMT22002|Kinh tế đất|Đỗ Thị Lan và Đỗ Anh Tài, Giáo trình Kinh tế đất, NXB Nông nghiệp, 2007|Giáo trình Kinh tế đất|Đỗ Thị Lan, Đỗ Anh Tài|2007| NXB Nông nghiệp|tk|Đặt mua|Không có|
1209|TNMT22002|Kinh tế đất|Ngô Đức Cát, Kinh tế tài nguyên đất, NXB Nông nghiệp, 2000|Kinh tế tài nguyên đất|Ngô Đức Cát|2000| NXB Nông nghiệp|tk|Đã có|TTTT-TV|
1210|TNMT22402|Luật và các điều ước thủy sản |Nguyễn Văn Huệ, 2016. Luật và các điều ước quốc tế thủy sản. Khoa Thủy sản ĐHNL Huế|Luật và các điều ước quốc tế thủy sản|Nguyễn Văn Huệ|2016||BB|Đang bổ sung|Khoa/ BM|
1211|TNMT22402|Luật và các điều ước thủy sản |Nguyễn Hồng Thao. 2007. Công ước biển 1982 và chiến lược biển của Việt Nam. Nhà xuất bản Chính trị Quốc gia, Hà Nội|Công ước biển 1982 và chiến lược biển của Việt Nam|Nguyễn Hồng Thao|2007||TK|internet|internet|
1212|TNMT22402|Luật và các điều ước thủy sản |Nguyễn Xuân Tế (giới thiệu). 2004. Công ước của Liên hiệp quốc về luật biển. Nhà xuất bản thành phố Hồ Chí Minh|Công ước của Liên hiệp quốc về luật biển.|Nguyễn Xuân Tế|2004||TK|Đổi tài liệu|Không có|
1213|TNMT22402|Luật và các điều ước thủy sản |Bộ Ngoại giao- Ban Biên giới. 2004. Một số vấn đề cơ bản về luật biển ở Việt Nam. Nhà xuất bản Chính trị Quốc gia, Hà Nội.|Một số vấn đề cơ bản về luật biển ở Việt Nam.||2004||TK|Đổi tài liệu|Không có|
1214|TNMT22402|Luật và các điều ước thủy sản |Nguyễn Hồng Thao. 2003. Ô nhiễm môi trường biển Việt Nam- Luật pháp và thực tiễn. Nhà xuất bản Thống kê, Hà Nội.|Ô nhiễm môi trường biển Việt Nam- Luật pháp và thực tiễn|Nguyễn Hồng Thao|2003||TK|Đổi tài liệu|Không có|
1215|TNMT23002|Quản lý đất nông nghiệp bền vững|TS. Lê Thanh Bồn (2017), Bài giảng Quản lý và sử dụng đất nông nghiệp bền vững, Đại học Nông lâm Huế|Bài giảng Quản lý và sử dụng đất nông nghiệp bền vững| Lê Thanh Bồn |2017|Đại học Nông lâm Huế|bb|Đang bổ sung|Khoa/ BM|
1216|TNMT23002|Quản lý đất nông nghiệp bền vững|Hội Khoa học Đất Việt Nam (2000), Đất Việt Nam, NXB Nông nghiệp Hà Nội, TT TTTV.|Đất Việt Nam|Hội Khoa học Đất Việt Nam |2000|NXB Nông nghiệp Hà Nội|tk|Đổi tài liệu|Không có|TTTT-TV - 1996
1217|TNMT23103|Quản lý hành chính về đất đai|Dương Thị Thu Hà, Bài giảng Quản lý hành chính về đất đai, Đại học Nông Lâm Huế,|Bài giảng Quản lý hành chính về đất đai|Dương Thị Thu Hà||Đại học Nông Lâm Huế|bb|Đang bổ sung|Khoa/ BM|
1218|TNMT23103|Quản lý hành chính về đất đai|Quốc hội Nước Cộng hòa xã hội chủ nghĩa Việt Nam (2013), Luật đất đai 2013, Nhà xuất bản Chính trị - Quốc gia, Hà Nội.|Luật đất đai 2013|Quốc hội Nước Cộng hòa xã hội chủ nghĩa Việt Nam |2013|Nhà xuất bản Chính trị - Quốc gia, Hà Nội.|tk|Đã có|TTTT-TV|
1219|TNMT23103|Quản lý hành chính về đất đai|Nguyễn Đình Bồng (2012), Quản lý đất đai ở Việt Nam (1945 – 2010), Nhà xuất bản Chính trị - Quốc gia.|Quản lý đất đai ở Việt Nam (1945 – 2010)|Nguyễn Đình Bồng|2012|Nhà xuất bản Chính trị - Quốc gia.|tk|Đặt mua|Không có|
1220|TNMT23103|Quản lý hành chính về đất đai|Bộ Tài nguyên và Môi trường (2014), Quyết định số 1839/QĐ-BTNMT về việc công bố thủ tục hành chính trong lĩnh vực đất đai, tài nguyên và môi trường, Hà Nội.|Quyết định số 1839/QĐ-BTNMT về việc công bố thủ tục hành chính trong lĩnh vực đất đai, tài nguyên và môi trường|Bộ Tài nguyên và Môi trường |2014|Hà Nội.|tk|internet|internet|
1221|TNMT23202|Quản lý nguồn nước|Phạm Hữu Tỵ (2015). Bài giảng quản lý nguồn nước, trường Đại học Nông Lâm Huế.|Bài giảng quản lý nguồn nước|Phạm Hữu Tỵ |2015|trường Đại học Nông Lâm Huế.|bb|Đang bổ sung|Khoa/ BM|
1222|TNMT23202|Quản lý nguồn nước|Tống Đức Khang, Nguyễn Đức Qúy, (2008), Bảo vệ đất chống xói mòn vùng đồi núi, Hà Nội.|Bảo vệ đất chống xói mòn vùng đồi núi|Tống Đức Khang, Nguyễn Đức Qúy|2008| Hà Nội.|tk|Đã có|TTTT-TV|
1223|TNMT23202|Quản lý nguồn nước|Hudson., Đào Trọng Năng, (1981), Bảo vệ đất và chống xói mòn, NXB Khoa học và kỹ thuật, TP.Hồ Chí Minh.|Bảo vệ đất và chống xói mòn|Hudson., Đào Trọng Năng|1981|NXB Khoa học và kỹ thuật, TP.Hồ Chí Minh.|tk|Đã có|TTTT-TV|
1224|TNMT23202|Quản lý nguồn nước|Trần Hữu Uyển, Trần Đức Hạ (1995). Bảo vệ nguồn nước chống ô nhiễm và cạn kiệt. Nông nghiệp: Hà Nội.|Bảo vệ nguồn nước chống ô nhiễm và cạn kiệt.|Trần Hữu Uyển, Trần Đức Hạ |1995|Nông nghiệp: Hà Nội.|tk|Đã có|TTTT-TV|
1225|TNMT23202|Quản lý nguồn nước|Trần Hữu Uyển (2000). Bảo vệ và sử dụng nguồn nước. NXB Nông nghiệp: Hà Nội|Bảo vệ và sử dụng nguồn nước|Trần Hữu Uyển|2000|NXB Nông nghiệp: Hà Nội |tk|Đã có|TTTT-TV|Bảo vệ và sử dụng nguồn nước / Trần Hữu Uyển, Trần Việt Nga. 
